"","X_R24834A_2","X_R24834A_1","X_R21723B_2","X_37014_1","X_31616_1","X_R35073B_1","X_7158_1","X_R35073B_2","X_R40334B_1","X_R40334B_2","X_R30875B_2","X_R30875B_1","X_R21723B_1","X_40064_1","X_R9288_1","X_Rou7776B_1","X_Rou7776B_2","X_ROU7788A_1","X_ROU7788A_2","X_21868_1","X_35794_1","X_Rou6223B_2","X_Rou6223B_1","X_776_1","X_R41544A_1","X_R9288_2","X_R16380_1","X_R16380_2","X_R41544A_2","X_R34914A_1","X_R19459B_2","X_R34914A_2","X_R29425B_2","X_33098_1","X_24339_1","X_20026_2","X_20026_1","X_14501_1","X_R19880A_10","X_R19880A_9","X_R19459B_1","X_R40757A_2","X_R40757A_3","X_R25549B_2","X_R25549B_1","X_R29425B_1"
"RP1",0,1,0,1,1,2,0,0,0,1,1,4,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,1,24,0,0,1,0,0,0,3,0,0,0,0,4
"RP1L1",1,1,7,1,2,3,6,4,3,0,2,5,2,1,1,4,1,2,0,1,1,0,0,2,2,0,0,1,3,0,2,3,0,5,4,0,2,3,3,6,4,2,2,1,0,7
"RPH3A",0,0,4,0,0,0,2,1,0,2,0,1,1,0,0,0,0,0,0,1,2,1,1,1,1,4,0,0,0,2,1,0,0,0,0,27,23,0,0,0,0,0,1,1,1,1
"RPH3AL",35,22,24,1,10,6,14,8,49,58,36,29,29,52,8,12,10,5,5,26,24,4,2,11,7,3,2,1,6,12,8,12,22,33,10,52,61,97,6,11,7,29,20,9,3,27
"RPL10P9",7,5,518,15,16,735,8,858,9,9,633,677,542,14,15,12,10,6,9,13,10,11,10,6,5,4,5,5,7,3,14,10,6,12,5,6,9,4,8,14,9,878,734,690,573,10
"RPL11P1",2,1,1,2,3,2,2,1,2,0,1,1,1,3,1,1,0,1,0,0,5,0,0,3,0,1,1,3,2,6,0,1,3,4,4,4,4,2,3,1,1,2,3,1,1,0
"RPL12P1",2,1,0,1,2,4,1,1,1,1,1,0,2,1,0,1,1,1,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,3,3,6,2,6,0,2,2,0,1,0,4,0
"RPL12P27",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"RPL12P6",2,0,1,5,4,0,2,0,0,1,1,1,1,0,1,1,0,0,0,1,3,0,1,4,1,0,0,0,0,0,1,4,3,4,4,3,0,3,1,0,1,1,0,3,0,1
"RPL13P4",0,2,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,2,0,1,2,0,1,1,0,0,1,1,1,0,0
